Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
efficientnet_b3.ra2_in1k,320,82.298,87.478,71.59,36.407,23.2,95.72,48.6,95.15,https://huggingface.co/timm/efficientnet_b3.ra2_in1k
efficientnet_b3_pruned.in1k,300,80.872,86.632,69.52,34.002,13.027,94.62,47.46,94.62,https://huggingface.co/timm/efficientnet_b3_pruned.in1k
efficientnet_b4.ra2_in1k,320,82.654,87.757,72.16,39.191,28.187,95.76,50.673,95.42,https://huggingface.co/timm/efficientnet_b4.ra2_in1k
efficientnet_b4.ra2_in1k,384,83.474,88.368,73.31,39.142,30.573,96.16,50.533,95.52,https://huggingface.co/timm/efficientnet_b4.ra2_in1k
efficientnet_b5.sw_in12k_ft_in1k,448,85.892,89.899,75.78,42.872,50.987,97.39,54.29,96.82,https://huggingface.co/timm/efficientnet_b5.sw_in12k_ft_in1k
efficientnet_el.ra_in1k,300,81.306,86.617,70.11,30.042,17.093,95.12,41.503,94.67,https://huggingface.co/timm/efficientnet_el.ra_in1k
efficientnet_el_pruned.in1k,300,80.294,86.197,69.49,28.01,14.413,94.38,40.283,94.07,https://huggingface.co/timm/efficientnet_el_pruned.in1k
efficientnet_em.ra2_in1k,240,79.264,85.684,67.66,29.496,11.987,93.84,41.49,93.76,https://huggingface.co/timm/efficientnet_em.ra2_in1k
efficientnet_es.ra_in1k,224,78.092,84.604,66.72,26.633,6.627,93.2,37.84,92.96,https://huggingface.co/timm/efficientnet_es.ra_in1k
efficientnet_es_pruned.in1k,224,75.0,82.279,63.26,23.858,4.12,91.19,35.397,91.71,https://huggingface.co/timm/efficientnet_es_pruned.in1k
efficientnet_lite0.ra_in1k,224,75.49,82.379,63.2,23.905,3.547,91.14,35.693,91.27,https://huggingface.co/timm/efficientnet_lite0.ra_in1k
efficientnetv2_rw_m.agc_in1k,320,84.294,88.712,74.9,41.854,38.427,96.59,54.197,96.19,https://huggingface.co/timm/efficientnetv2_rw_m.agc_in1k
efficientnetv2_rw_m.agc_in1k,416,84.824,89.0,75.13,39.667,46.333,97.0,52.36,96.28,https://huggingface.co/timm/efficientnetv2_rw_m.agc_in1k
efficientnetv2_rw_s.ra2_in1k,288,82.888,87.854,72.9,39.16,27.973,96.16,50.59,95.44,https://huggingface.co/timm/efficientnetv2_rw_s.ra2_in1k
efficientnetv2_rw_s.ra2_in1k,384,83.83,88.488,74.08,37.073,36.587,96.54,48.69,95.75,https://huggingface.co/timm/efficientnetv2_rw_s.ra2_in1k
efficientnetv2_rw_t.ra2_in1k,224,81.372,86.741,70.25,35.391,16.707,94.98,46.433,94.66,https://huggingface.co/timm/efficientnetv2_rw_t.ra2_in1k
efficientnetv2_rw_t.ra2_in1k,288,82.354,87.655,72.31,34.157,24.24,95.61,45.617,95.09,https://huggingface.co/timm/efficientnetv2_rw_t.ra2_in1k
efficientvit_b0.r224_in1k,224,71.404,78.442,58.16,18.472,3.227,87.98,30.123,88.27,https://huggingface.co/timm/efficientvit_b0.r224_in1k
efficientvit_b1.r224_in1k,224,79.24,85.242,67.81,29.806,11.373,93.52,41.637,93.32,https://huggingface.co/timm/efficientvit_b1.r224_in1k
efficientvit_b1.r256_in1k,256,79.744,85.866,68.35,29.69,12.427,94.04,42.527,93.66,https://huggingface.co/timm/efficientvit_b1.r256_in1k
efficientvit_b1.r288_in1k,288,80.31,86.133,69.48,30.785,15.0,94.48,43.44,94.17,https://huggingface.co/timm/efficientvit_b1.r288_in1k
efficientvit_b2.r224_in1k,224,82.162,87.106,71.39,32.074,21.573,95.31,45.23,94.89,https://huggingface.co/timm/efficientvit_b2.r224_in1k
efficientvit_b2.r256_in1k,256,82.712,87.644,71.73,34.418,24.533,95.67,47.183,95.29,https://huggingface.co/timm/efficientvit_b2.r256_in1k
efficientvit_b2.r288_in1k,288,83.084,87.915,72.31,34.239,28.4,95.98,47.08,95.61,https://huggingface.co/timm/efficientvit_b2.r288_in1k
efficientvit_b3.r224_in1k,224,83.444,88.052,73.01,37.354,31.88,96.02,48.963,95.55,https://huggingface.co/timm/efficientvit_b3.r224_in1k
efficientvit_b3.r256_in1k,256,83.814,88.336,73.1,38.682,32.413,96.35,50.567,95.83,https://huggingface.co/timm/efficientvit_b3.r256_in1k
