Model Name,Input Size,imagenet-original,imagenet-real,imagenetv2-matched-frequency,sketch,imagenet-a,imagenet-a-clean,imagenet-r,imagenet-r-clean,url
swin_base_patch4_window12_384.ms_in22k_ft_in1k,384,86.438,90.068,77.38,48.521,65.28,97.87,63.01,97.07,https://huggingface.co/timm/swin_base_patch4_window12_384.ms_in22k_ft_in1k
swin_base_patch4_window7_224.ms_in1k,224,83.61,87.871,72.4,32.653,35.773,96.09,46.507,95.9,https://huggingface.co/timm/swin_base_patch4_window7_224.ms_in1k
swin_base_patch4_window7_224.ms_in22k_ft_in1k,224,85.27,89.199,75.7,45.562,51.813,97.28,59.307,96.67,https://huggingface.co/timm/swin_base_patch4_window7_224.ms_in22k_ft_in1k
swin_large_patch4_window12_384.ms_in22k_ft_in1k,384,87.138,90.066,78.34,50.343,70.8,98.02,65.95,97.18,https://huggingface.co/timm/swin_large_patch4_window12_384.ms_in22k_ft_in1k
swin_large_patch4_window7_224.ms_in22k_ft_in1k,224,86.33,89.79,77.19,48.981,61.333,97.65,63.737,96.97,https://huggingface.co/timm/swin_large_patch4_window7_224.ms_in22k_ft_in1k
swin_s3_base_224.ms_in1k,224,83.92,88.052,73.36,34.805,39.627,96.27,48.163,96.07,https://huggingface.co/timm/swin_s3_base_224.ms_in1k
swin_s3_small_224.ms_in1k,224,83.778,87.854,73.03,33.689,37.053,96.24,46.383,95.85,https://huggingface.co/timm/swin_s3_small_224.ms_in1k
swin_s3_tiny_224.ms_in1k,224,82.128,87.149,70.97,31.219,26.68,95.19,43.587,94.96,https://huggingface.co/timm/swin_s3_tiny_224.ms_in1k
swin_small_patch4_window7_224.ms_in1k,224,83.228,87.685,71.75,32.349,32.373,95.88,45.113,95.73,https://huggingface.co/timm/swin_small_patch4_window7_224.ms_in1k
swin_small_patch4_window7_224.ms_in22k_ft_in1k,224,83.33,88.817,73.69,41.602,43.453,96.55,54.843,96.03,https://huggingface.co/timm/swin_small_patch4_window7_224.ms_in22k_ft_in1k
swin_tiny_patch4_window7_224.ms_in1k,224,81.388,86.677,69.45,29.35,21.12,95.17,41.397,94.69,https://huggingface.co/timm/swin_tiny_patch4_window7_224.ms_in1k
swin_tiny_patch4_window7_224.ms_in22k_ft_in1k,224,80.966,87.296,70.68,33.272,29.547,95.49,46.577,94.84,https://huggingface.co/timm/swin_tiny_patch4_window7_224.ms_in22k_ft_in1k
swinv2_base_window12to16_192to256.ms_in22k_ft_in1k,256,86.276,89.899,77.27,48.783,63.467,97.68,63.02,97.06,https://huggingface.co/timm/swinv2_base_window12to16_192to256.ms_in22k_ft_in1k
swinv2_base_window12to24_192to384.ms_in22k_ft_in1k,384,87.14,90.444,78.42,51.009,71.907,98.14,65.517,97.26,https://huggingface.co/timm/swinv2_base_window12to24_192to384.ms_in22k_ft_in1k
swinv2_base_window16_256.ms_in1k,256,84.608,88.609,74.18,36.994,45.893,96.77,49.597,96.17,https://huggingface.co/timm/swinv2_base_window16_256.ms_in1k
swinv2_base_window8_256.ms_in1k,256,84.246,88.537,73.67,35.464,41.16,96.55,48.293,96.05,https://huggingface.co/timm/swinv2_base_window8_256.ms_in1k
swinv2_cr_small_224.sw_in1k,224,83.126,87.369,71.6,31.254,30.773,96.09,43.65,95.42,https://huggingface.co/timm/swinv2_cr_small_224.sw_in1k
swinv2_cr_small_ns_224.sw_in1k,224,83.49,87.93,72.77,33.842,32.747,96.22,46.027,95.72,https://huggingface.co/timm/swinv2_cr_small_ns_224.sw_in1k
swinv2_cr_tiny_ns_224.sw_in1k,224,81.796,87.036,70.72,28.348,24.28,95.33,41.413,94.78,https://huggingface.co/timm/swinv2_cr_tiny_ns_224.sw_in1k
swinv2_large_window12to16_192to256.ms_in22k_ft_in1k,256,86.934,89.92,77.91,50.471,67.373,97.84,65.507,97.22,https://huggingface.co/timm/swinv2_large_window12to16_192to256.ms_in22k_ft_in1k
swinv2_large_window12to24_192to384.ms_in22k_ft_in1k,384,87.474,90.192,78.31,52.312,74.347,98.16,67.517,97.3,https://huggingface.co/timm/swinv2_large_window12to24_192to384.ms_in22k_ft_in1k
swinv2_small_window16_256.ms_in1k,256,84.216,88.368,73.4,35.422,42.267,96.47,48.55,96.06,https://huggingface.co/timm/swinv2_small_window16_256.ms_in1k
swinv2_small_window8_256.ms_in1k,256,83.844,88.189,73.2,33.665,37.667,96.32,46.99,95.77,https://huggingface.co/timm/swinv2_small_window8_256.ms_in1k
swinv2_tiny_window16_256.ms_in1k,256,82.828,87.625,71.91,31.299,31.787,95.98,44.503,95.37,https://huggingface.co/timm/swinv2_tiny_window16_256.ms_in1k
swinv2_tiny_window8_256.ms_in1k,256,81.824,87.1,70.45,28.615,26.173,95.5,41.28,95.06,https://huggingface.co/timm/swinv2_tiny_window8_256.ms_in1k
test_byobnet.r160_in1k,160,45.4,51.991,34.79,7.469,2.053,65.87,17.107,67.36,https://huggingface.co/timm/test_byobnet.r160_in1k
test_efficientnet.r160_in1k,160,46.424,52.858,35.12,7.206,2.173,67.11,16.507,67.7,https://huggingface.co/timm/test_efficientnet.r160_in1k
test_vit.r160_in1k,160,40.832,46.762,31.54,4.814,2.227,62.46,13.243,63.99,https://huggingface.co/timm/test_vit.r160_in1k
tf_efficientnet_b0.aa_in1k,224,76.882,83.552,64.34,26.479,5.187,92.28,38.557,92.39,https://huggingface.co/timm/tf_efficientnet_b0.aa_in1k
tf_efficientnet_b0.ap_in1k,224,77.094,83.66,65.35,28.427,5.307,92.26,40.393,92.62,https://huggingface.co/timm/tf_efficientnet_b0.ap_in1k
tf_efficientnet_b0.in1k,224,76.536,82.582,63.54,22.553,4.413,92.09,34.67,92.27,https://huggingface.co/timm/tf_efficientnet_b0.in1k
tf_efficientnet_b0.ns_jft_in1k,224,78.684,85.02,67.73,28.912,11.093,93.69,46.06,93.77,https://huggingface.co/timm/tf_efficientnet_b0.ns_jft_in1k
tf_efficientnet_b1.aa_in1k,240,78.84,84.914,66.83,28.89,7.16,93.51,40.047,93.74,https://huggingface.co/timm/tf_efficientnet_b1.aa_in1k
tf_efficientnet_b1.ap_in1k,240,79.288,85.133,67.48,30.433,8.387,93.72,42.887,93.64,https://huggingface.co/timm/tf_efficientnet_b1.ap_in1k
tf_efficientnet_b1.in1k,240,78.558,84.461,66.53,24.119,6.44,93.09,37.027,92.94,https://huggingface.co/timm/tf_efficientnet_b1.in1k
tf_efficientnet_b1.ns_jft_in1k,240,81.388,86.688,70.72,34.184,18.92,95.15,50.8,94.88,https://huggingface.co/timm/tf_efficientnet_b1.ns_jft_in1k
tf_efficientnet_b2.aa_in1k,260,80.082,85.889,68.44,30.014,9.68,94.4,42.243,94.21,https://huggingface.co/timm/tf_efficientnet_b2.aa_in1k
tf_efficientnet_b2.ap_in1k,260,80.296,85.979,68.77,32.663,10.427,94.5,44.813,94.27,https://huggingface.co/timm/tf_efficientnet_b2.ap_in1k
tf_efficientnet_b2.in1k,260,79.614,85.392,67.2,26.473,8.413,94.13,39.63,93.74,https://huggingface.co/timm/tf_efficientnet_b2.in1k
tf_efficientnet_b2.ns_jft_in1k,260,82.412,87.572,72.36,36.098,24.253,95.75,53.5,95.53,https://huggingface.co/timm/tf_efficientnet_b2.ns_jft_in1k
tf_efficientnet_b3.aa_in1k,300,81.648,86.848,70.44,32.934,16.787,95.01,45.087,94.92,https://huggingface.co/timm/tf_efficientnet_b3.aa_in1k
tf_efficientnet_b3.ap_in1k,300,81.854,87.207,71.1,37.093,17.12,95.35,50.11,95.01,https://huggingface.co/timm/tf_efficientnet_b3.ap_in1k
tf_efficientnet_b3.in1k,300,80.88,86.342,68.37,28.566,12.56,94.64,41.913,94.28,https://huggingface.co/timm/tf_efficientnet_b3.in1k
tf_efficientnet_b3.ns_jft_in1k,300,84.064,88.473,73.78,39.5,35.68,96.38,57.41,96.11,https://huggingface.co/timm/tf_efficientnet_b3.ns_jft_in1k
tf_efficientnet_b4.aa_in1k,380,83.04,87.971,72.17,34.104,25.96,95.95,47.07,95.59,https://huggingface.co/timm/tf_efficientnet_b4.aa_in1k
tf_efficientnet_b4.ap_in1k,380,83.25,88.36,72.74,40.476,25.827,96.17,53.123,95.5,https://huggingface.co/timm/tf_efficientnet_b4.ap_in1k
tf_efficientnet_b4.in1k,380,82.608,87.6,71.24,29.885,22.653,95.82,43.47,95.5,https://huggingface.co/timm/tf_efficientnet_b4.in1k
tf_efficientnet_b4.ns_jft_in1k,380,85.176,89.363,75.52,43.446,51.013,96.97,61.11,96.71,https://huggingface.co/timm/tf_efficientnet_b4.ns_jft_in1k
tf_efficientnet_b5.aa_in1k,456,83.696,88.404,73.28,35.475,29.72,96.48,47.84,95.89,https://huggingface.co/timm/tf_efficientnet_b5.aa_in1k
tf_efficientnet_b5.ap_in1k,456,84.254,88.949,74.36,41.392,34.387,96.71,53.937,96.09,https://huggingface.co/timm/tf_efficientnet_b5.ap_in1k
tf_efficientnet_b5.in1k,456,83.166,87.975,72.47,30.34,23.44,96.08,43.65,95.85,https://huggingface.co/timm/tf_efficientnet_b5.in1k
tf_efficientnet_b5.ns_jft_in1k,456,86.102,89.666,76.67,45.617,59.933,97.5,62.877,96.9,https://huggingface.co/timm/tf_efficientnet_b5.ns_jft_in1k
tf_efficientnet_b5.ra_in1k,456,83.828,88.304,73.34,38.35,31.107,96.39,49.483,95.99,https://huggingface.co/timm/tf_efficientnet_b5.ra_in1k
tf_efficientnet_b6.aa_in1k,528,84.118,88.77,73.86,34.068,34.987,96.68,47.16,96.29,https://huggingface.co/timm/tf_efficientnet_b6.aa_in1k
tf_efficientnet_b6.ap_in1k,528,84.792,89.34,75.37,41.111,40.373,97.12,53.593,96.36,https://huggingface.co/timm/tf_efficientnet_b6.ap_in1k
tf_efficientnet_b6.ns_jft_in1k,528,86.476,89.779,77.18,47.719,61.88,97.62,65.447,97.06,https://huggingface.co/timm/tf_efficientnet_b6.ns_jft_in1k
tf_efficientnet_b7.aa_in1k,600,84.436,88.797,73.85,32.086,37.76,96.54,45.457,96.08,https://huggingface.co/timm/tf_efficientnet_b7.aa_in1k
tf_efficientnet_b7.ap_in1k,600,85.132,89.429,75.99,41.473,45.267,97.21,53.32,96.34,https://huggingface.co/timm/tf_efficientnet_b7.ap_in1k
tf_efficientnet_b7.ns_jft_in1k,600,86.852,90.151,77.94,47.725,67.16,97.89,67.017,97.2,https://huggingface.co/timm/tf_efficientnet_b7.ns_jft_in1k
tf_efficientnet_b7.ra_in1k,600,84.93,89.09,74.47,41.441,42.253,97.0,52.373,96.61,https://huggingface.co/timm/tf_efficientnet_b7.ra_in1k
tf_efficientnet_b8.ap_in1k,672,85.366,89.583,75.95,45.764,46.493,97.12,57.877,96.56,https://huggingface.co/timm/tf_efficientnet_b8.ap_in1k
tf_efficientnet_b8.ra_in1k,672,85.356,89.329,74.56,42.424,48.013,97.21,53.173,96.7,https://huggingface.co/timm/tf_efficientnet_b8.ra_in1k
tf_efficientnet_cc_b0_4e.in1k,224,77.324,83.645,64.96,28.358,6.013,92.63,38.447,92.86,https://huggingface.co/timm/tf_efficientnet_cc_b0_4e.in1k
tf_efficientnet_cc_b0_8e.in1k,224,77.924,83.998,66.2,31.091,7.187,92.83,41.52,92.88,https://huggingface.co/timm/tf_efficientnet_cc_b0_8e.in1k
tf_efficientnet_cc_b1_8e.in1k,240,79.322,85.063,67.37,30.897,9.613,93.92,42.277,93.59,https://huggingface.co/timm/tf_efficientnet_cc_b1_8e.in1k
tf_efficientnet_el.in1k,300,80.242,86.073,68.11,26.387,11.253,94.4,39.363,94.37,https://huggingface.co/timm/tf_efficientnet_el.in1k
tf_efficientnet_em.in1k,240,78.136,84.459,66.06,23.388,5.213,92.95,36.477,93.2,https://huggingface.co/timm/tf_efficientnet_em.in1k
tf_efficientnet_es.in1k,224,76.608,83.193,63.86,22.425,3.84,91.98,34.3,92.1,https://huggingface.co/timm/tf_efficientnet_es.in1k
tf_efficientnet_l2.ns_jft_in1k,800,88.362,90.574,80.13,47.397,84.68,98.54,74.59,97.77,https://huggingface.co/timm/tf_efficientnet_l2.ns_jft_in1k
tf_efficientnet_l2.ns_jft_in1k_475,475,88.25,90.527,80.52,51.41,83.373,98.5,76.35,97.77,https://huggingface.co/timm/tf_efficientnet_l2.ns_jft_in1k_475
tf_efficientnet_lite0.in1k,224,74.846,81.957,62.65,24.381,3.067,91.1,36.033,91.36,https://huggingface.co/timm/tf_efficientnet_lite0.in1k
tf_efficientnet_lite1.in1k,240,76.672,83.349,64.58,25.524,4.48,92.6,36.687,92.31,https://huggingface.co/timm/tf_efficientnet_lite1.in1k
tf_efficientnet_lite2.in1k,260,77.472,84.104,65.33,24.575,5.373,92.68,36.907,92.71,https://huggingface.co/timm/tf_efficientnet_lite2.in1k
tf_efficientnet_lite3.in1k,300,79.832,85.759,67.96,28.765,9.587,94.2,40.64,94.16,https://huggingface.co/timm/tf_efficientnet_lite3.in1k
tf_efficientnet_lite4.in1k,380,81.546,86.801,70.32,30.838,17.907,94.89,42.877,94.88,https://huggingface.co/timm/tf_efficientnet_lite4.in1k
tf_efficientnetv2_b0.in1k,192,76.88,83.285,64.62,28.645,4.827,92.29,39.8,92.26,https://huggingface.co/timm/tf_efficientnetv2_b0.in1k
tf_efficientnetv2_b0.in1k,224,78.38,84.625,66.52,28.562,5.907,93.13,39.79,93.04,https://huggingface.co/timm/tf_efficientnetv2_b0.in1k
tf_efficientnetv2_b1.in1k,192,77.93,84.134,65.52,28.564,5.267,93.14,40.893,93.23,https://huggingface.co/timm/tf_efficientnetv2_b1.in1k
tf_efficientnetv2_b1.in1k,240,79.518,85.565,67.86,27.749,7.733,93.96,39.64,93.73,https://huggingface.co/timm/tf_efficientnetv2_b1.in1k
tf_efficientnetv2_b2.in1k,208,79.206,85.125,67.91,30.313,7.547,93.82,41.517,93.61,https://huggingface.co/timm/tf_efficientnetv2_b2.in1k
tf_efficientnetv2_b2.in1k,260,80.226,85.921,69.07,27.169,10.84,94.43,39.193,94.07,https://huggingface.co/timm/tf_efficientnetv2_b2.in1k
tf_efficientnetv2_b3.in1k,240,80.712,85.968,69.32,31.724,11.187,94.58,43.167,94.23,https://huggingface.co/timm/tf_efficientnetv2_b3.in1k
tf_efficientnetv2_b3.in1k,300,81.96,87.023,70.68,30.895,16.587,95.18,42.333,95.14,https://huggingface.co/timm/tf_efficientnetv2_b3.in1k
tf_efficientnetv2_b3.in21k_ft_in1k,240,81.076,86.459,69.4,34.243,24.213,95.34,47.713,94.87,https://huggingface.co/timm/tf_efficientnetv2_b3.in21k_ft_in1k
tf_efficientnetv2_b3.in21k_ft_in1k,300,82.634,87.787,71.06,33.449,32.093,96.22,48.05,95.61,https://huggingface.co/timm/tf_efficientnetv2_b3.in21k_ft_in1k
tf_efficientnetv2_l.in1k,384,85.196,89.077,75.33,42.866,44.067,97.27,54.453,96.56,https://huggingface.co/timm/tf_efficientnetv2_l.in1k
tf_efficientnetv2_l.in1k,480,85.66,89.553,76.0,40.993,50.12,97.51,53.183,96.73,https://huggingface.co/timm/tf_efficientnetv2_l.in1k
tf_efficientnetv2_l.in21k_ft_in1k,384,85.832,89.587,76.17,49.7,57.387,97.46,62.42,96.87,https://huggingface.co/timm/tf_efficientnetv2_l.in21k_ft_in1k
tf_efficientnetv2_l.in21k_ft_in1k,480,86.802,90.211,77.38,48.785,64.507,97.83,62.403,97.32,https://huggingface.co/timm/tf_efficientnetv2_l.in21k_ft_in1k
tf_efficientnetv2_m.in1k,384,84.558,88.891,74.12,40.472,35.24,96.8,52.32,96.02,https://huggingface.co/timm/tf_efficientnetv2_m.in1k
tf_efficientnetv2_m.in1k,480,85.21,89.35,75.14,38.757,42.4,97.23,51.513,96.48,https://huggingface.co/timm/tf_efficientnetv2_m.in1k
tf_efficientnetv2_m.in21k_ft_in1k,384,84.768,89.16,75.34,48.425,50.907,97.21,60.193,96.51,https://huggingface.co/timm/tf_efficientnetv2_m.in21k_ft_in1k
tf_efficientnetv2_m.in21k_ft_in1k,480,86.014,90.014,76.75,47.468,59.12,97.81,60.257,97.02,https://huggingface.co/timm/tf_efficientnetv2_m.in21k_ft_in1k
tf_efficientnetv2_s.in1k,300,83.172,87.89,72.75,34.461,21.76,96.15,45.383,95.4,https://huggingface.co/timm/tf_efficientnetv2_s.in1k
tf_efficientnetv2_s.in1k,384,83.896,88.396,74.04,33.054,29.027,96.35,43.873,95.76,https://huggingface.co/timm/tf_efficientnetv2_s.in1k
tf_efficientnetv2_s.in21k_ft_in1k,300,83.374,88.146,72.75,41.524,37.613,96.32,53.273,95.91,https://huggingface.co/timm/tf_efficientnetv2_s.in21k_ft_in1k
tf_efficientnetv2_s.in21k_ft_in1k,384,84.316,88.893,74.32,40.995,48.067,96.75,53.253,96.46,https://huggingface.co/timm/tf_efficientnetv2_s.in21k_ft_in1k
tf_efficientnetv2_xl.in21k_ft_in1k,384,85.562,88.885,75.9,50.789,58.187,97.39,62.177,96.9,https://huggingface.co/timm/tf_efficientnetv2_xl.in21k_ft_in1k
tf_efficientnetv2_xl.in21k_ft_in1k,512,86.748,89.782,77.59,49.749,67.147,97.9,62.127,97.32,https://huggingface.co/timm/tf_efficientnetv2_xl.in21k_ft_in1k
tf_mixnet_l.in1k,224,78.776,84.559,66.68,25.424,7.08,93.29,37.057,93.05,https://huggingface.co/timm/tf_mixnet_l.in1k
tf_mixnet_m.in1k,224,76.964,83.189,64.47,23.473,5.04,92.34,35.25,92.2,https://huggingface.co/timm/tf_mixnet_m.in1k
tf_mixnet_s.in1k,224,75.652,82.021,63.4,20.464,3.947,91.52,32.21,91.71,https://huggingface.co/timm/tf_mixnet_s.in1k
tf_mobilenetv3_large_075.in1k,224,73.448,80.08,60.32,20.403,2.893,89.66,31.97,90.33,https://huggingface.co/timm/tf_mobilenetv3_large_075.in1k
tf_mobilenetv3_large_100.in1k,224,75.514,81.863,62.38,22.553,3.653,91.22,33.99,91.41,https://huggingface.co/timm/tf_mobilenetv3_large_100.in1k
tf_mobilenetv3_large_minimal_100.in1k,224,72.27,79.251,58.96,20.13,1.653,88.94,31.68,89.2,https://huggingface.co/timm/tf_mobilenetv3_large_minimal_100.in1k
tf_mobilenetv3_small_075.in1k,224,65.732,72.825,52.35,14.968,1.973,83.52,26.28,84.52,https://huggingface.co/timm/tf_mobilenetv3_small_075.in1k
tf_mobilenetv3_small_100.in1k,224,67.932,74.729,54.6,16.273,2.147,85.22,27.57,86.01,https://huggingface.co/timm/tf_mobilenetv3_small_100.in1k
tf_mobilenetv3_small_minimal_100.in1k,224,62.894,70.066,49.57,14.257,1.133,81.32,25.813,82.64,https://huggingface.co/timm/tf_mobilenetv3_small_minimal_100.in1k
tiny_vit_11m_224.dist_in22k_ft_in1k,224,83.232,88.118,72.14,39.12,33.32,96.29,50.707,95.72,https://huggingface.co/timm/tiny_vit_11m_224.dist_in22k_ft_in1k
tiny_vit_11m_224.in1k,224,81.538,87.286,70.96,32.093,23.52,95.55,44.747,95.22,https://huggingface.co/timm/tiny_vit_11m_224.in1k
tiny_vit_21m_224.dist_in22k_ft_in1k,224,85.088,89.098,75.01,44.823,44.307,97.2,57.16,96.4,https://huggingface.co/timm/tiny_vit_21m_224.dist_in22k_ft_in1k
tiny_vit_21m_224.in1k,224,83.27,88.163,73.25,37.12,32.88,96.2,49.247,95.69,https://huggingface.co/timm/tiny_vit_21m_224.in1k
tiny_vit_21m_384.dist_in22k_ft_in1k,384,86.094,89.854,76.29,46.281,57.48,97.61,58.957,96.95,https://huggingface.co/timm/tiny_vit_21m_384.dist_in22k_ft_in1k
tiny_vit_21m_512.dist_in22k_ft_in1k,512,86.452,90.031,76.56,47.234,57.787,97.9,59.56,96.89,https://huggingface.co/timm/tiny_vit_21m_512.dist_in22k_ft_in1k
tiny_vit_5m_224.dist_in22k_ft_in1k,224,80.862,86.743,69.66,33.345,22.72,95.05,44.463,94.63,https://huggingface.co/timm/tiny_vit_5m_224.dist_in22k_ft_in1k
tiny_vit_5m_224.in1k,224,79.196,85.612,68.06,27.487,17.52,94.28,40.78,93.8,https://huggingface.co/timm/tiny_vit_5m_224.in1k
tinynet_a.in1k,192,77.664,83.842,66.02,26.786,6.653,92.48,38.347,92.82,https://huggingface.co/timm/tinynet_a.in1k
tinynet_b.in1k,188,74.966,81.863,62.69,23.04,4.253,90.91,35.017,91.13,https://huggingface.co/timm/tinynet_b.in1k
tinynet_c.in1k,184,71.224,78.429,58.21,19.299,3.213,87.79,30.537,88.42,https://huggingface.co/timm/tinynet_c.in1k
tinynet_d.in1k,152,66.966,74.272,53.34,16.695,2.787,84.83,27.997,85.48,https://huggingface.co/timm/tinynet_d.in1k
tinynet_e.in1k,106,59.874,66.836,46.76,12.743,1.933,78.99,23.473,79.84,https://huggingface.co/timm/tinynet_e.in1k
tnt_s_patch16_224,224,81.528,86.914,70.92,31.663,24.573,95.06,43.767,94.57,https://huggingface.co/timm/tnt_s_patch16_224
tresnet_l.miil_in1k,224,81.498,86.773,70.67,32.549,16.44,95.27,44.353,94.86,https://huggingface.co/timm/tresnet_l.miil_in1k
tresnet_l.miil_in1k_448,448,82.278,87.403,71.48,29.183,40.133,95.89,42.803,95.41,https://huggingface.co/timm/tresnet_l.miil_in1k_448
tresnet_m.miil_in1k,224,80.816,86.192,69.68,30.995,12.467,94.62,42.693,94.1,https://huggingface.co/timm/tresnet_m.miil_in1k
tresnet_m.miil_in1k_448,448,81.71,86.818,70.78,25.86,33.787,94.98,40.513,94.68,https://huggingface.co/timm/tresnet_m.miil_in1k_448
tresnet_m.miil_in21k_ft_in1k,224,83.09,87.736,72.12,36.275,21.387,95.73,47.297,95.42,https://huggingface.co/timm/tresnet_m.miil_in21k_ft_in1k
tresnet_v2_l.miil_in21k_ft_in1k,224,83.902,88.387,73.45,39.018,26.293,96.16,50.12,95.84,https://huggingface.co/timm/tresnet_v2_l.miil_in21k_ft_in1k
tresnet_xl.miil_in1k,224,82.064,87.234,71.45,33.276,19.347,95.44,46.307,95.08,https://huggingface.co/timm/tresnet_xl.miil_in1k
tresnet_xl.miil_in1k_448,448,83.066,87.807,72.2,30.633,43.213,95.97,45.177,95.55,https://huggingface.co/timm/tresnet_xl.miil_in1k_448
twins_pcpvt_base.in1k,224,82.722,87.725,72.25,33.066,29.84,95.79,45.903,95.48,https://huggingface.co/timm/twins_pcpvt_base.in1k
twins_pcpvt_large.in1k,224,83.168,87.898,72.57,34.076,33.107,96.16,46.543,95.74,https://huggingface.co/timm/twins_pcpvt_large.in1k
twins_pcpvt_small.in1k,224,81.122,86.637,70.52,30.394,22.627,95.23,43.097,94.61,https://huggingface.co/timm/twins_pcpvt_small.in1k
twins_svt_base.in1k,224,83.124,87.642,72.72,32.856,33.107,96.18,45.88,95.57,https://huggingface.co/timm/twins_svt_base.in1k
twins_svt_large.in1k,224,83.69,87.911,73.44,35.1,37.347,96.26,47.94,95.7,https://huggingface.co/timm/twins_svt_large.in1k
twins_svt_small.in1k,224,81.692,86.769,70.42,30.959,23.92,95.22,42.94,94.77,https://huggingface.co/timm/twins_svt_small.in1k
vgg11.tv_in1k,224,69.048,76.395,55.86,15.715,1.613,86.58,26.64,87.34,https://huggingface.co/timm/vgg11.tv_in1k
vgg11_bn.tv_in1k,224,70.384,77.951,57.01,17.395,1.733,87.5,28.447,88.41,https://huggingface.co/timm/vgg11_bn.tv_in1k
vgg13.tv_in1k,224,69.94,77.234,57.07,16.125,1.853,87.02,26.313,87.55,https://huggingface.co/timm/vgg13.tv_in1k
vgg13_bn.tv_in1k,224,71.556,78.985,58.88,17.819,2.08,88.78,28.963,89.23,https://huggingface.co/timm/vgg13_bn.tv_in1k
vgg16.tv_in1k,224,71.6,79.038,58.64,17.536,2.573,88.55,27.97,89.4,https://huggingface.co/timm/vgg16.tv_in1k
vgg16_bn.tv_in1k,224,73.356,80.535,60.82,19.965,2.56,90.09,30.38,90.52,https://huggingface.co/timm/vgg16_bn.tv_in1k
vgg19.tv_in1k,224,72.4,79.486,59.72,17.931,2.107,89.06,28.7,89.7,https://huggingface.co/timm/vgg19.tv_in1k
vgg19_bn.tv_in1k,224,74.236,81.455,61.89,21.637,2.84,90.12,33.307,90.98,https://huggingface.co/timm/vgg19_bn.tv_in1k
visformer_small.in1k,224,82.096,87.175,70.92,30.329,25.64,95.5,43.21,94.97,https://huggingface.co/timm/visformer_small.in1k
visformer_tiny.in1k,224,78.16,84.86,66.98,26.257,13.133,93.59,38.86,92.97,https://huggingface.co/timm/visformer_tiny.in1k
vit_base_patch16_224.augreg2_in21k_ft_in1k,224,85.11,89.453,75.31,45.12,49.733,97.16,59.207,96.5,https://huggingface.co/timm/vit_base_patch16_224.augreg2_in21k_ft_in1k
vit_base_patch16_224.augreg_in1k,224,79.142,84.38,66.34,27.973,14.907,93.63,38.14,93.34,https://huggingface.co/timm/vit_base_patch16_224.augreg_in1k
vit_base_patch16_224.augreg_in21k_ft_in1k,224,84.532,88.868,74.08,43.251,43.12,96.88,56.86,96.3,https://huggingface.co/timm/vit_base_patch16_224.augreg_in21k_ft_in1k
vit_base_patch16_224.orig_in21k_ft_in1k,224,81.786,86.756,71.05,35.784,31.587,95.34,47.4,95.22,https://huggingface.co/timm/vit_base_patch16_224.orig_in21k_ft_in1k
vit_base_patch16_224.sam_in1k,224,80.242,85.877,68.35,27.717,9.013,94.15,40.113,93.89,https://huggingface.co/timm/vit_base_patch16_224.sam_in1k
vit_base_patch16_224_miil.in21k_ft_in1k,224,84.272,88.744,74.06,40.18,34.12,96.47,51.557,96.05,https://huggingface.co/timm/vit_base_patch16_224_miil.in21k_ft_in1k
vit_base_patch16_384.augreg_in1k,384,81.096,86.22,68.97,29.8,27.293,94.96,40.42,94.47,https://huggingface.co/timm/vit_base_patch16_384.augreg_in1k
vit_base_patch16_384.augreg_in21k_ft_in1k,384,86.006,89.967,76.15,45.882,63.027,97.83,60.187,97.02,https://huggingface.co/timm/vit_base_patch16_384.augreg_in21k_ft_in1k
vit_base_patch16_384.orig_in21k_ft_in1k,384,84.208,88.389,73.78,38.128,50.08,96.71,51.05,96.18,https://huggingface.co/timm/vit_base_patch16_384.orig_in21k_ft_in1k
vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,224,86.21,89.57,76.08,51.815,50.24,97.45,64.733,96.63,https://huggingface.co/timm/vit_base_patch16_clip_224.laion2b_ft_in12k_in1k
vit_base_patch16_clip_224.laion2b_ft_in1k,224,85.494,89.468,75.75,55.419,41.96,97.12,68.703,96.33,https://huggingface.co/timm/vit_base_patch16_clip_224.laion2b_ft_in1k
vit_base_patch16_clip_224.openai_ft_in12k_in1k,224,85.962,89.434,75.72,49.693,50.253,97.54,63.01,96.53,https://huggingface.co/timm/vit_base_patch16_clip_224.openai_ft_in12k_in1k
vit_base_patch16_clip_224.openai_ft_in1k,224,85.286,89.158,76.09,50.993,47.453,97.09,65.883,96.36,https://huggingface.co/timm/vit_base_patch16_clip_224.openai_ft_in1k
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,384,87.212,90.177,77.24,53.497,57.773,98.01,65.927,97.23,https://huggingface.co/timm/vit_base_patch16_clip_384.laion2b_ft_in12k_in1k
vit_base_patch16_clip_384.laion2b_ft_in1k,384,86.638,90.198,77.07,56.869,53.373,97.75,70.597,96.92,https://huggingface.co/timm/vit_base_patch16_clip_384.laion2b_ft_in1k
vit_base_patch16_clip_384.openai_ft_in12k_in1k,384,87.028,90.207,76.99,51.149,59.627,98.19,65.207,97.13,https://huggingface.co/timm/vit_base_patch16_clip_384.openai_ft_in12k_in1k
vit_base_patch16_clip_384.openai_ft_in1k,384,86.218,89.696,76.92,53.096,54.453,97.55,67.26,96.82,https://huggingface.co/timm/vit_base_patch16_clip_384.openai_ft_in1k
